field1,field2,field3,field4,field5,field6,X_impact
2.7337,1.2387,0.0,1.8942,-2.2068,-3.685,-2.10803
2.8046,1.6046,0.0,1.8813,-1.6747,-2.0937,-1.52908
1.9491,2.002,0.086311,0.0,-3.895,0.13229,-3.50214
1.9971,1.9465,0.0,0.083043,-3.834,-0.12488,-3.60564
2.5675,0.98996,0.0,1.9939,-1.2178,-2.9533,-1.17959
0.0,0.65245,2.4131,1.9997,3.9233,1.0603,4.40782
1.975,2.5742,0.8984,0.0,-4.1418,1.6423,-4.3297
1.6231,0.0,1.5644,2.8277,3.7794,-3.9453,3.20551
1.7349,0.98977,0.0,1.2235,-0.52078,-0.71522,-0.62796
0.0,1.9501,2.6341,0.99933,1.9421,4.2535,2.00164
2.3144,0.83326,0.0,1.9385,-0.58562,-1.898,-0.71291
1.9994,0.0,1.1844,2.6017,1.0469,-2.1746,0.65088
1.9154,2.6869,1.0949,0.0,-4.3988,2.2898,-4.45511
0.15949,1.9698,1.8889,0.0,-0.15179,2.6145,-0.77433
0.0,1.8185,2.7673,1.2673,3.1315,4.7439,2.86403
1.9955,2.6451,1.4689,0.0,-1.517,0.92331,-1.47636
1.9878,2.5322,0.84029,0.0,-3.9348,1.4222,-4.1962
2.1361,1.9133,0.0,0.46807,-2.2477,-0.38076,-2.66331
2.5466,0.86328,0.0,1.9846,-1.4767,-3.9513,-1.34112
1.5108,2.8163,1.7466,0.0,-2.795,3.334,-2.69308
