field1,field2,field3,field4,X_impact,field6,X_impact
0.73104,0.0,1.9858,2.4952,4.9039,-1.576,4.19228
1.458,0.0,1.6848,2.8183,4.575,-3.8766,4.17142
0.0,0.92289,2.6045,1.9558,4.7114,1.9848,4.11917
1.6329,0.0,1.5487,2.827,3.795,-4.0357,3.81094
0.0,1.8248,2.7766,1.3284,2.7468,3.9997,2.74063
1.7229,0.0,1.6137,2.8256,2.5555,-2.7755,2.75679
1.8035,2.7975,1.4284,0.0,-3.4419,2.5921,-3.64993
0.0,1.9642,1.9863,0.032627,0.066742,4.9666,0.07943
2.3388,1.9895,0.0,0.63485,-2.9209,-0.71708,-3.16568
1.7427,2.8017,1.3755,0.0,-4.7792,3.646,-4.26129
1.0838,2.6916,1.902,0.0,-2.5532,4.8698,-2.62985
0.0,1.5568,2.7587,1.9691,1.8095,1.2702,1.52185
2.0867,0.25074,0.0,1.947,-0.29832,-3.1422,-0.38466
0.40124,2.2415,1.9911,0.0,-0.63769,3.9559,-0.67588
1.9469,1.9494,0.0039651,0.0,-4.3335,0.0068998,-4.19181
1.5454,2.828,1.593,0.0,-4.4205,4.5758,-4.07931
1.1636,0.0,1.8967,2.7148,4.2185,-2.3747,4.08674
0.83544,2.5087,1.9957,0.0,-1.2189,3.4906,-1.33072
2.2758,1.9532,0.0,0.66887,-2.2468,-0.55464,-2.77488
1.9972,1.944,0.0,0.088513,-3.7312,-0.12883,-4.14059
0.96413,2.6138,1.9599,0.0,-1.8337,4.2155,-1.93671
2.5766,1.4495,0.0,1.9643,-0.81912,-1.3628,-0.74688
1.646,2.8266,1.5515,0.0,-3.8657,3.6071,-3.92318
0.26238,0.0,1.9842,2.1536,4.3572,-0.46325,4.11914
1.9905,2.251,0.42483,0.0,-3.79,0.64259,-4.14088
1.3699,2.7859,1.8159,0.0,-2.6853,3.762,-2.9806
2.8247,1.6885,0.0,1.5555,-3.4392,-3.1165,-3.63595
0.84087,0.0,1.9743,2.5551,4.6262,-1.7321,4.16502
2.2497,0.39792,0.0,1.9942,-0.6862,-4.2348,-0.73277
0.0,1.9611,2.5813,0.87041,1.98,4.996,1.78374
0.25783,0.0,1.9639,2.1154,3.5111,-0.35097,4.03394
2.7936,1.7718,0.0,1.3561,-4.5291,-3.3255,-4.44736
0.0,1.4496,2.8016,1.7973,3.3478,2.5742,3.29167
1.9996,0.0,0.55552,2.3739,1.0955,-4.665,0.94496
1.4994,0.0,1.7572,2.8139,3.3335,-2.7478,3.43743
1.994,2.1993,0.30193,0.0,-4.962,0.62361,-4.67552
1.9975,2.3494,0.58499,0.0,-3.5411,0.83047,-4.05278
0.0,0.90589,2.2584,1.8752,1.5637,0.53589,1.70022
0.73525,0.0,1.9964,2.4685,3.9695,-1.2301,3.91445
0.80458,0.0,1.9999,2.4686,3.153,-1.0281,3.57438
1.9998,0.0,0.66463,2.4176,1.0557,-3.8439,0.95741
2.1411,1.8723,0.0,0.61245,-1.8348,-0.40728,-2.41787
1.7181,2.8211,1.5344,0.0,-3.3791,2.9475,-3.61458
0.0,1.6916,2.8213,1.5058,3.401,3.8994,3.28295
0.65911,0.0,1.998,2.3826,3.2736,-0.85933,3.7075
1.9323,2.644,0.98492,0.0,-4.9777,2.304,-4.66663
1.9919,0.0,0.82905,2.4205,0.79466,-2.4884,0.82293
1.2331,2.7408,1.8751,0.0,-2.4572,4.0375,-2.65511
2.7183,1.2202,0.0,1.9159,-2.0,-3.4736,-2.12114
0.0,1.3334,2.7809,1.8118,4.1451,2.8912,3.73282
1.8472,0.0,1.53,2.8022,1.9818,-2.5391,1.91231
1.5551,2.8088,1.8298,0.0,-2.0373,2.523,-2.15131
0.0,0.55882,2.3707,1.9999,4.4794,1.0504,3.80976
1.4637,0.0,1.7302,2.8137,3.9128,-3.2127,3.84152
2.8248,1.697,0.0,1.5672,-3.2716,-2.9704,-3.46647
0.81519,0.0,1.9954,2.4288,2.6319,-0.83469,3.2493
0.46569,0.0,1.9542,2.1954,2.6614,-0.46091,3.56182
2.7971,1.3952,0.0,1.7824,-2.9618,-3.9564,-2.99616
0.11811,0.0,1.7776,1.8303,1.988,-0.08309,1.54625
1.4223,2.81,1.7257,0.0,-3.5509,4.4393,-3.59969
1.6073,2.8282,1.6373,0.0,-3.2854,3.3591,-3.50438
1.9568,0.025576,0.0,1.9409,-0.040218,-3.9814,-9.4E-4
1.939,0.0,0.75545,2.2861,0.55694,-2.0032,0.70442
0.46971,0.80457,0.44697,0.0,-0.29283,0.27611,-0.42974
1.8413,0.034724,0.0,1.8246,-0.029133,-2.3472,-0.12923
1.0459,0.0,0.36225,1.2343,0.18822,-0.72214,0.39341
0.0,1.1131,2.6904,1.9176,4.1907,2.2088,3.79865
2.4968,0.83547,0.0,1.9983,-1.131,-3.2859,-1.19827
0.6836,2.4494,1.9961,0.0,-1.2661,4.352,-1.27284
0.0,1.2591,2.7626,1.8288,4.6339,3.0112,3.83534
0.89795,0.0,1.9999,2.5028,2.8455,-1.0303,3.34698
1.6997,2.8155,1.4451,0.0,-4.5288,3.7584,-4.20845
2.6884,1.9177,0.0,1.1055,-4.2522,-2.2269,-4.15787
0.0,1.5237,2.8274,1.5964,4.8965,4.6457,4.11465
2.6757,1.0626,0.0,1.9192,-2.3194,-4.6002,-2.31323
1.5641,2.8282,1.5959,0.0,-4.1538,4.251,-3.99691
1.9977,2.413,0.74109,0.0,-2.9638,0.86665,-3.78703
